ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,517,309,189,149,36,9,4,221,112,61,37,28,16,9,9,6,1,110,40,37,19,17,10,9,5,2,71,60,13,18,18,19,3,2,1,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,What is preventing yOu frOm including biOinfOrmatics cOntent in these cOurses?,Faculty Issues - General,Faculty Issue - No Expertise/ Training,Faculty Issue - Time,Faculty Issue - Does not know how to design curricula or incorporate with existing curriculum,Faculty Issue - Lack of Faculty interest at Institution,Faculty Issues - Faculty is new to current Dept,Curriculum Issues - General,Curriculum Issue - Course Load Full/ No time/space for Content,Curric Issues - Does not Fit into current Current Course Structure,Curriculum Issue - Time for Curriculum Development, Curric Issues - Lack of Curric Control/not in curent Curric.,Curric Issues - Bioinf. Taught in other courses at institution,Curric Issue - Class Size,Curric Issues - Plans to teach Bioinf. In the future (but not currently available),Curric Issue - Bioinfo Conent too Massive,Curric Issues - Content needs to be introduced in multiple courses,Resource Issues - General,Resources - Access to Quality Exercises/ Content,Resources - Access to developed Bioinf Lesson Plans/Bioinf Curric,Resources - Access to Approp Introductory Content,Resources - Unable to identify/access best current Bioinf material,Resource Issues - Funding,Resource Issues - Not available in course textbook,Resource Issues - Access to Quality Online Exerices/Conent,Resource Issues -TA's lack approp skils,Student Issues - General,Student Issues - UG Students Lack Approp Background Knowledge,Student Issues - Lack of interest in topic,Facilities Issues - General,Facilities Issue -Access to Appropriate Facilities/ Equipment,Inst/Dept. Support - General,Inst/Dept Issues - Institutional Inertia,State restrictions,Not accredited,,
94,1,3,1,4,1,4,3,SO,5,"Students have not taken any statistics class and lack very basic statistical and experimental design concepts; they have - for the overwhelming part - no experience in even reading primary scientific & peer-reviewed literature, or exploring scientific datbases. They have problems interpreting data. Some have no experience with Excel.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
95,1,3,1,4,2,4,1,NE,2,student background,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
96,1,3,2,4,1,4,1,SO,5,I don't know much about it myself,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,4,1,4,2,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,1,1,4,2,4,3,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,3,2,4,1,4,2,WE,9,Not my field of expertise.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,2,1,4,3,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,2,1,4,2,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,3,2,4,2,4,3,SO,7,1. lack of proficiency on my part. 2. it is specifically taught in other courses.,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4
106,3,#NULL!,1,3,3,#NULL!,#NULL!,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,3,1,4,8,4,3,SO,5,"It's an introductory class, and I have a lot of content to cover.  Also, depending on how you define ""bioinformatics"" what teach could be considered having substantial (more than 1 lecture) on bioinformatics.  The course is Biology for Engineers, so I teah molecular and cellular biology and biochemistry from a quantitative and applied perspective.  Answering this question after reading your next question, I need to change my answer.  I probably spend roughly 15-20% of my semester teaching introducing he students to some of the tools listed on your  next question (namely: VMD, NCBI, PDB, Blast, but also t-tests and Matlab).  I suppose that means I do teach a lot of bioinformatics content.",1,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,4,2,4,2,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,3,2,4,2,4,2,SO,5,Haven't developed the course yet.,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
